Address,City,Zip,SoldDate,Bathrooms,Bedrooms,LivingArea,LandArea,PropPrice,InflationRate,FederalInt,MonthID
3755 W 61st Pl,Chicago,60629,10/7/22,2,4,2000,6250,260000,7.75,3.08,10
5656 S Kolmar Ave,Chicago,60629,10/7/22,2,4,1257,3840.3,282000,7.75,3.08,10
3425 W 66th St,Chicago,60629,10/7/22,1,2,1032,4791,185000,7.75,3.08,10
3217 W 66th St,Chicago,60629,10/7/22,2,4,1700,3101.47,215000,7.75,3.08,10
6158 S Francisco Ave,Chicago,60629,10/5/22,1,3,1300,3592,140000,7.75,3.08,10
6440 S Campbell Ave,Chicago,60629,10/5/22,1,4,1285,5662,158000,7.75,3.08,10
5928 S Troy St,Chicago,60629,10/4/22,3,6,1800,3746.16,339000,7.75,3.08,10
6837 S Tripp Ave,Chicago,60629,10/3/22,2,4,2129,4050,340000,7.75,3.08,10
6105 S Maplewood Ave,Chicago,60629,9/30/22,3,5,1700,3750.52,289900,8.2,2.56,9
5545 S Tripp Ave,Chicago,60629,9/30/22,2,5,1600,4181.76,276000,8.2,2.56,9
3659 W Marquette Rd,Chicago,60629,9/30/22,2,6,1300,3746.16,280000,8.2,2.56,9
7042 S Rockwell St,Chicago,60629,9/30/22,3,7,1700,3388.97,220000,8.2,2.56,9
3945 W 60th St,Chicago,60629,9/29/22,1,2,800,3750.52,170000,8.2,2.56,9
6412 S Mozart St,Chicago,60629,9/29/22,1,4,1056,3750.52,105000,8.2,2.56,9
5745 S Richmond St,Chicago,60629,9/28/22,2,3,1290,3755,170000,8.2,2.56,9
5730 S California Ave,Chicago,60629,9/28/22,2,5,1600,3750,235000,8.2,2.56,9
6637 S Kenneth Ave,Chicago,60629,9/28/22,1,2,899,3750,230000,8.2,2.56,9
6411 S Campbell Ave,Chicago,60629,9/27/22,1,3,1229,3920,117000,8.2,2.56,9
6237 S Whipple St,Chicago,60629,9/26/22,3,4,1404,3750.52,250000,8.2,2.56,9
6733 S Kolin Ave,Chicago,60629,9/26/22,1,2,744,3746.16,205000,8.2,2.56,9
3700 W 56th St,Chicago,60629,9/24/22,2,3,858,3001.28,273000,8.2,2.56,9
5920 S Keeler Ave,Chicago,60629,9/24/22,1,3,1800,3781.01,245000,8.2,2.56,9
6029 S Spaulding Ave,Chicago,60629,9/23/22,2,4,2451,3720.02,329000,8.2,2.56,9
6533 S Keeler Ave,Chicago,60629,9/22/22,2,4,1600,3750,221000,8.2,2.56,9
6751 S Rockwell St,Chicago,60629,9/22/22,2,5,1110,3750,140000,8.2,2.56,9
7124 S Albany Ave,Chicago,60629,9/22/22,1,2,962,3781.01,85999,8.2,2.56,9
7345 S Artesian Ave,Chicago,60629,9/22/22,2,4,1338,3659.04,280000,8.2,2.56,9
3901 W 70th Pl,Chicago,60629,9/21/22,2,4,1320,5127.01,290000,8.2,2.56,9
6010 S Sacramento Ave,Chicago,60629,9/20/22,1.5,5,1365,3750,245000,8.2,2.56,9
6209 S Mozart St,Chicago,60629,9/20/22,2,5,1272,3750.52,173000,8.2,2.56,9
4136 W 58th Pl,Chicago,60629,9/20/22,1,3,1080,3450,215000,8.2,2.56,9
6626 S Knox Ave,Chicago,60629,9/20/22,2,4,1152,3750.52,280000,8.2,2.56,9
6325 S Washtenaw Ave,Chicago,60629,9/20/22,2,4,1587,3092.76,160000,8.2,2.56,9
7209 S Springfield Ave,Chicago,60629,9/20/22,1.5,2,1506,4158,205000,8.2,2.56,9
3436 W 62nd St,Chicago,60629,9/19/22,2,3,672,3224,135000,8.2,2.56,9
3831 W 64th St,Chicago,60629,9/19/22,2,3,1410,4059,200000,8.2,2.56,9
3708 W 56th St,Chicago,60629,9/17/22,1,2,900,3023.06,160000,8.2,2.56,9
6201 S Mozart St,Chicago,60629,9/16/22,1,3,1150,3750,155000,8.2,2.56,9
5600 S Homan Ave,Chicago,60629,9/16/22,2,6,1342,3781.01,215000,8.2,2.56,9
3855 W 64th Pl,Chicago,60629,9/16/22,1.5,4,1544,4650,175000,8.2,2.56,9
5829 S Francisco Ave,Chicago,60629,9/14/22,1,3,1110,3750,180000,8.2,2.56,9
3515 W 58th Pl,Chicago,60629,9/14/22,1,2,903,3125,137000,8.2,2.56,9
3339 W 64th St,Chicago,60629,9/14/22,2,3,1600,6200,250000,8.2,2.56,9
3604 W 58th St,Chicago,60629,9/12/22,2,3,1021,4268.88,285000,8.2,2.56,9
3809 W 66th Pl,Chicago,60629,9/12/22,1.5,3,1331,6000,320000,8.2,2.56,9
3417 W 66th Pl,Chicago,60629,9/12/22,3,4,6250,4647.85,310000,8.2,2.56,9
6112 S Tripp Ave,Chicago,60629,9/9/22,2,3,1008,3781.01,225000,8.2,2.56,9
6443 S Fairfield Ave,Chicago,60629,9/9/22,2,5,1800,3781.01,230000,8.2,2.56,9
6132 S Kenneth Ave,Chicago,60629,9/7/22,2.5,4,1680,3773,273000,8.2,2.56,9
3932 W 70th Pl,Chicago,60629,9/6/22,1,2,888,3750,128000,8.2,2.56,9
6048 S Artesian Ave,Chicago,60629,9/2/22,2,6,1217,3750,494000,8.2,2.56,9
6229 S Komensky Ave,Chicago,60629,9/2/22,3,7,2200,3781.01,375000,8.2,2.56,9
6019 S Tripp Ave,Chicago,60629,9/1/22,1,2,1010,3750,212500,8.2,2.56,9
6736 S Keeler Ave,Chicago,60629,9/1/22,1,2,936,3750,185000,8.2,2.56,9
6158 S California Ave,Chicago,60629,8/31/22,3,5,1470,3125,199000,8.26,2.33,8
3923 W 60th Pl,Chicago,60629,8/31/22,2,4,1321,4138.2,240000,8.26,2.33,8
3338 W 62nd St,Chicago,60629,8/31/22,3,4,1584,6198.59,317000,8.26,2.33,8
4051 W 58th St,Chicago,60629,8/31/22,2,2,992,2000,200000,8.26,2.33,8
7231 S Artesian Ave,Chicago,60629,8/31/22,3,4,1250,3049.2,285000,8.26,2.33,8
3834 W 64th Pl,Chicago,60629,8/30/22,3,4,882,3750,260000,8.26,2.33,8
3834 W 66th St,Chicago,60629,8/30/22,1,4,1471,4443.12,215000,8.26,2.33,8
7212 S Francisco Ave,Chicago,60629,8/30/22,2,6,1116,3781.01,260000,8.26,2.33,8
5641 S Fairfield Ave,Chicago,60629,8/29/22,1,3,1202,4125,100000,8.26,2.33,8
3636 W 58th St,Chicago,60629,8/29/22,3,3,1177,3123.25,249000,8.26,2.33,8
6127 S Tripp Ave,Chicago,60629,8/29/22,1,3,912,3780,214500,8.26,2.33,8
3628 W 70th St,Chicago,60629,8/26/22,2,5,1250,3750.52,299900,8.26,2.33,8
5821 S Spaulding Ave,Chicago,60629,8/25/22,1,3,1127,3780,189000,8.26,2.33,8
6048 S Talman Ave,Chicago,60629,8/24/22,3,6,1652,3750.52,295000,8.26,2.33,8
7232 S Lawndale Ave,Chicago,60629,8/24/22,2,4,1212,3750,289000,8.26,2.33,8
7036 S Washtenaw Ave,Chicago,60629,8/23/22,1,3,1048,4725,80000,8.26,2.33,8
5526 S Kedvale Ave,Chicago,60629,8/22/22,3,6,1670,3781.01,325000,8.26,2.33,8
6222 S California Ave,Chicago,60629,8/19/22,1,3,950,4375,192500,8.26,2.33,8
3814 W 69th St,Chicago,60629,8/19/22,1,2,864,4125,20000,8.26,2.33,8
6442 S Francisco Ave,Chicago,60629,8/19/22,1.5,4,1215,3659,130000,8.26,2.33,8
5514 S Sacramento Ave,Chicago,60629,8/18/22,3,7,3200,4142.56,359000,8.26,2.33,8
3621 W 62nd St,Chicago,60629,8/18/22,2,4,1252,3125,220000,8.26,2.33,8
1850 Coldwater Canyon Dr,Beverly Hills,90210,2/16/24,3,3,2408,10153.84,2055000,3.1,5.33,2
9618 Highland Gorge Dr,Beverly Hills,90210,2/16/24,2,2,1264,6655,1280000,3.1,5.33,2
9249 Burton Way UNIT 302,Beverly Hills,90210,2/15/24,3,2,1963,0.48,1925000,3.1,5.33,2
441 N Oakhurst Dr APT 402,Beverly Hills,90210,2/14/24,3,3,2126,0.52,1375000,3.1,5.33,2
1099 N Hillcrest Rd,Beverly Hills,90210,2/14/24,5,5,4777,0.46,7200000,3.1,5.33,2
403 N Palm Dr #1,Beverly Hills,90210,2/8/24,4,3,3025,7697.05,2287600,3.1,5.33,2
624 N Roxbury Dr,Beverly Hills,90210,2/6/24,4,4,2797,0.39,7800000,3.1,5.33,2
1737 N Beverly Dr,Beverly Hills,90210,2/2/24,2,3,1806,1,3400000,3.1,5.33,2
1365 Shadybrook Dr,Beverly Hills,90210,2/2/24,9,7,7402,0.43,7020000,3.1,5.33,2
9850 Easton Dr,Beverly Hills,90210,2/2/24,4,4,2269,6943.46,2200000,3.1,5.33,2
1527 N Beverly Dr,Beverly Hills,90210,2/1/24,3,4,2050,8184.92,1950000,3.1,5.33,2
625 N Palm Dr,Beverly Hills,90210,1/31/24,8,6,5410,0.4,9635000,3.09,5.33,1
13425 Java Dr,Beverly Hills,90210,1/29/24,3,3,3069,6340,3005000,3.09,5.33,1
14023 Aubrey Rd,Beverly Hills,90210,1/25/24,7,5,7818,0.97,15000000,3.09,5.33,1
447 N Doheny Dr APT 303,Beverly Hills,90210,1/24/24,2,1,1634,0.48,1275000,3.09,5.33,1
2353 Bowmont Dr,Beverly Hills,90210,1/23/24,5,4,3911,0.41,3995000,3.09,5.33,1
551 Chalette Dr,Beverly Hills,90210,1/23/24,9,6,7430,0.46,17161755,3.09,5.33,1
1130 Carolyn Way,Beverly Hills,90210,1/17/24,13,7,12127,0.39,18500000,3.09,5.33,1
910 N Alpine Dr,Beverly Hills,90210,1/12/24,3.5,4,10368,1.5,24000000,3.09,5.33,1
407 Robert Ln,Beverly Hills,90210,1/11/24,11,9,11786,1.09,62500,3.09,5.33,1
515 Haynes Ave,Beverly Hills,90210,1/9/24,7,4,5368,0.48,6739556,3.09,5.33,1
707 N Camden Dr,Beverly Hills,90210,1/5/24,8,7,8079,0.34,8896875,3.09,5.33,1
2365 N Bowmont Dr,Beverly Hills,90210,1/2/24,4,3,3213,0.52,3315000,3.09,5.33,1
525 Chalette Dr,Beverly Hills,90210,1/2/24,7,4,5765,0.46,11250000,3.09,5.33,1
631 N Crescent Dr,Beverly Hills,90210,12/29/23,3,6,3299,0.8,23500000,3.35,5.33,12
1177 Loma Linda Dr,Beverly Hills,90210,12/28/23,6.5,6,8816,1.26,21400000,3.35,5.33,12
327 N Palm Dr APT 303,Beverly Hills,90210,12/21/23,3,3,1984,10306.3,1650000,3.35,5.33,12
9966 Liebe Dr,Beverly Hills,90210,12/19/23,3,4,2966,1.4,3500000,3.35,5.33,12
3202 Hutton Dr,Beverly Hills,90210,12/18/23,4,5,4099,0.5,3600000,3.35,5.33,12
802 Foothill Rd,Beverly Hills,90210,12/15/23,15,7,16799,0.55,24200000,3.35,5.33,12
1855 Loma Vista Dr,Beverly Hills,90210,12/4/23,7,5,5430,0.45,7350000,3.35,5.33,12
441 N Oakhurst Dr APT 701,Beverly Hills,90210,12/1/23,2,1,1535,0.52,975000,3.35,5.33,12
1371 Tower Grove Dr,Beverly Hills,90210,12/1/23,5,5,4474,0.34,4024427,3.35,5.33,12
1400 Laurel Way,Beverly Hills,90210,11/30/23,7,6,5575,0.32,5767358,3.14,5.33,11
1300 Shadybrook Dr,Beverly Hills,90210,11/30/23,3,3,2557,0.28,2438000,3.14,5.33,11
2276 Bowmont Dr,Beverly Hills,90210,11/29/23,3,3,2900,0.43,3720000,3.14,5.33,11
505 N Arden Dr,Beverly Hills,90210,11/28/23,6,5,4306,0.28,6470000,3.14,5.33,11
9465 Cherokee Ln,Beverly Hills,90210,11/28/23,5,5,4741,0.28,4999000,3.14,5.33,11
900 N Hillcrest Rd,Beverly Hills,90210,11/23/23,7,4,5208,1.1,45000,3.14,5.33,11
318 N Maple Dr UNIT 208,Beverly Hills,90210,11/22/23,3,2,2006,0.86,1580000,3.14,5.33,11
1023 Benedict Canyon Dr,Beverly Hills,90210,11/20/23,4,4,3893,9879.41,4162312,3.14,5.33,11
1642 N Beverly Dr,Beverly Hills,90210,11/16/23,4,4,2500,8515.98,2975000,3.14,5.33,11
1728 Chevy Chase Dr,Beverly Hills,90210,11/14/23,7,5,7200,0.48,11600000,3.14,5.33,11
9615 Highland Gorge Dr,Beverly Hills,90210,11/13/23,2,3,1136,0.41,1300000,3.14,5.33,11
9606 Arby Dr,Beverly Hills,90210,11/11/23,4,4,3837,0.47,10000,3.14,5.33,11
1370 Schuyler Rd,Beverly Hills,90210,11/9/23,3,3,2400,0.28,3315000,3.14,5.33,11
9545 Dalegrove Dr,Beverly Hills,90210,11/6/23,3.5,3,2533,10165,9980,3.14,5.33,11
500 Chalette Dr,Beverly Hills,90210,11/6/23,5,4,4884,0.48,6700000,3.14,5.33,11
3197 Benedict Canyon Dr,Beverly Hills,90210,11/3/23,2,3,1185,1.25,840500,3.14,5.33,11
214 N Crescent Dr #3,Beverly Hills,90210,11/2/23,4,3,3558,7566.37,2725000,3.14,5.33,11
1314 Shadybrook Dr,Beverly Hills,90210,11/2/23,4,4,3278,9774,2505000,3.14,5.33,11
702 N Rodeo Dr,Beverly Hills,90210,11/1/23,6,5,6921,0.39,10550000,3.14,5.33,11
9849 Denbigh Dr,Beverly Hills,90210,11/1/23,8,6,4820,0.81,4983000,3.14,5.33,11
460 N Palm Dr #406,Beverly Hills,90210,10/30/23,4,3,2810,0.31,3711000,3.24,5.33,10
450 N Palm Dr UNIT 406,Beverly Hills,90210,10/30/23,4,3,2958,0.31,3785220,3.24,5.33,10
9618 Arrowood Dr,Beverly Hills,90210,10/27/23,4,5,3162,0.7,3200000,3.24,5.33,10
425 N Maple Dr UNIT 204,Beverly Hills,90210,10/25/23,4,3,2314,0.8,2325000,3.24,5.33,10
9707 Wendover Dr,Beverly Hills,90210,10/24/23,3,4,4067,0.3,3185000,3.24,5.33,10
2296 Betty Ln,Beverly Hills,90210,10/23/23,4,4,2785,0.28,3000000,3.24,5.33,10
3001 Hutton Pl,Beverly Hills,90210,10/19/23,3,3,2445,0.25,2500000,3.24,5.33,10
125 N Maple Dr,Beverly Hills,90210,10/18/23,2,3,1425,7501.03,4200000,3.24,5.33,10
9455 Cherokee Ln,Beverly Hills,90210,10/17/23,2,3,1826,9681,2500000,3.24,5.33,10
2107 El Roble Ln,Beverly Hills,90210,10/17/23,2,2,1826,9681,2500000,3.24,5.33,10
606 N Camden Dr,Beverly Hills,90210,10/12/23,6,4,4215,0.29,8225000,3.24,5.33,10
2505 N Benedict Canyon Dr,Beverly Hills,90210,10/12/23,2,2,1525,0.49,2995000,3.24,5.33,10
2538 Hutton Dr,Beverly Hills,90210,10/11/23,4,4,2753,0.39,2850000,3.24,5.33,10
824 N Whittier Dr,Beverly Hills,90210,10/10/23,6,6,7280,0.43,13460000,3.24,5.33,10
3084 Franklin Canyon Dr,Beverly Hills,90210,10/10/23,6,6,4073,0.26,3895000,3.24,5.33,10
2246 Betty Ln,Beverly Hills,90210,10/10/23,3,4,2759,0.28,2576000,3.24,5.33,10
445 Walker Dr,Beverly Hills,90210,10/6/23,9,6,10546,0.45,24180000,3.24,5.33,10
513 Foothill Rd,Beverly Hills,90210,10/5/23,4,3,3270,0.3,7400000,3.24,5.33,10
1009 Laurel Way,Beverly Hills,90210,10/2/23,6,6,6066,1.02,15000000,3.24,5.33,10
9451 Hidden Valley Pl,Beverly Hills,90210,9/29/23,5,3,2600,0.37,2260000,3.7,5.33,9
9171 W 3rd St,Beverly Hills,90210,9/27/23,4,2,2506,2587.46,3500000,3.7,5.33,9
1240 Loma Vista Dr,Beverly Hills,90210,9/27/23,8,6,6000,0.52,8500000,3.7,5.33,9
9128 Leander Pl,Beverly Hills,90210,9/20/23,5,4,3617,0.4,12000,3.7,5.33,9
2750 N Benedict Canyon Dr,Beverly Hills,90210,9/18/23,4,4,2997,1.5,4715380,3.7,5.33,9
9801 Portola Dr,Beverly Hills,90210,9/14/23,2,2,746,0.3,900000,3.7,5.33,9
9816 Millboro Pl,Beverly Hills,90210,9/8/23,3,4,2742,0.29,12000,3.7,5.33,9
2321 Coldwater Canyon Dr,Beverly Hills,90210,9/8/23,2,2,1960,0.28,1537500,3.7,5.33,9
9466 Hidden Valley Pl,Beverly Hills,90210,9/8/23,3,3,2051,0.35,2340000,3.7,5.33,9
438 N Palm Dr #4,Beverly Hills,90210,9/6/23,3,2,1560,7501.03,1451150,3.7,5.33,9
1116 La Collina Dr,Beverly Hills,90210,9/6/23,4,2,3061,10305,4600000,3.7,5.33,9
717 N Palm Dr,Beverly Hills,90210,8/30/23,8.75,5,6000,0.82,33600000,3.67,5.33,8
2918 N Deep Canyon Dr,Beverly Hills,90210,8/29/23,6,5,4932,0.35,4250000,3.67,5.33,8
129 N Crescent Dr,Beverly Hills,90210,8/28/23,4,6,4083,6070,3126000,3.67,5.33,8
116 N Palm Dr,Beverly Hills,90210,8/28/23,7,5,3944,7405,14750,3.67,5.33,8
534 Chalette Dr,Beverly Hills,90210,8/25/23,7,5,6200,0.5,15000000,3.67,5.33,8
2288 Coldwater Canyon Dr,Beverly Hills,90210,8/24/23,4,4,2791,10580.72,2250000,3.67,5.33,8
12733 Mulholland Dr,Beverly Hills,90210,8/18/23,5,4,3456,0.87,4995000,3.67,5.33,8
2376 Kimridge Rd,Beverly Hills,90210,8/18/23,5,4,4408,0.34,3500000,3.67,5.33,8
628 N Elm Dr,Beverly Hills,90210,8/17/23,5,5,5427,0.41,12926000,3.67,5.33,8
965 N Alpine Dr,Beverly Hills,90210,8/16/23,5,3,4061,0.49,20100000,3.67,5.33,8
55 Beverly Park Way,Beverly Hills,90210,8/16/23,12,7,14239,2.79,34400000,3.67,5.33,8
714 Sierra Dr,Beverly Hills,90210,8/15/23,7,6,5052,0.57,9975000,3.67,5.33,8
221 N Rexford Dr,Beverly Hills,90210,8/9/23,5,4,4612,7570.73,6300000,3.67,5.33,8
9520 Gloaming Dr,Beverly Hills,90210,8/9/23,2,2,2088,0.36,12000,3.67,5.33,8
460 N Palm Dr #407,Beverly Hills,90210,8/7/23,4,3,2860,0.31,3350000,3.67,5.33,8
406 N Oakhurst Dr UNIT 102,Beverly Hills,90210,8/4/23,2,2,1264,0.35,1100000,3.67,5.33,8
450 N Palm Dr UNIT 407,Beverly Hills,90210,8/4/23,4,3,2860,0.31,3350000,3.67,5.33,8
9455 Lloydcrest Dr,Beverly Hills,90210,8/3/23,5,3,3582,7660,3250000,3.67,5.33,8
13980 Aubrey Rd,Beverly Hills,90210,8/3/23,6,5,7039,0.57,9500000,3.67,5.33,8
2670 Bowmont Dr,Beverly Hills,90210,8/2/23,9,6,10305,1.22,8787500,3.67,5.33,8
2241 N Bowmont Dr,Beverly Hills,90210,8/1/23,5,4,3558,0.46,4300000,3.67,5.33,8
1235 Tower Rd,Beverly Hills,90210,7/31/23,8,6,7580,0.58,8850000,3.18,5.12,7
2701 Ellison Dr,Beverly Hills,90210,7/31/23,3,4,3607,0.29,3700000,3.18,5.12,7
430 N Oakhurst Dr UNIT 301,Beverly Hills,90210,7/31/23,3,2,2008,0.7,2150000,3.18,5.12,7
503 N Alta Dr,Beverly Hills,90210,7/25/23,5,5,3951,0.28,6700000,3.18,5.12,7
2701 Hutton Dr,Beverly Hills,90210,7/25/23,3,4,3335,0.49,3203000,3.18,5.12,7
1641 Tower Grove Dr,Beverly Hills,90210,7/24/23,4,4,2766,0.45,4125000,3.18,5.12,7
1398 Davies Dr,Beverly Hills,90210,7/21/23,7,5,6274,5445,3850000,3.18,5.12,7
9 Beverly Ridge Ter,Beverly Hills,90210,7/20/23,9,7,15200,1.71,16800000,3.18,5.12,7
441 N Oakhurst Dr APT 705,Beverly Hills,90210,7/19/23,3,3,2123,0.52,1450000,3.18,5.12,7
1031 Summit Dr,Beverly Hills,90210,7/17/23,5,5,5738,0.39,22797000,3.18,5.12,7
620 N Crescent Dr,Beverly Hills,90210,7/14/23,7,5,4512,0.33,9100000,3.18,5.12,7
723 Foothill Rd,Beverly Hills,90210,7/11/23,4,4,3261,0.37,8626000,3.18,5.12,7
321 N Oakhurst Dr APT 604,Beverly Hills,90210,7/11/23,2,3,1819,0.52,1115000,3.18,5.12,7
321 N Oakhurst Dr APT 305,Beverly Hills,90210,7/10/23,3,3,2123,0.52,1000000,3.18,5.12,7
12945 Mulholland Dr,Beverly Hills,90210,7/7/23,8,5,9500,0.89,14700000,3.18,5.12,7
2158 San Ysidro Dr,Beverly Hills,90210,7/6/23,6,6,4600,0.25,509380,3.18,5.12,7
1043 Loma Vista Dr,Beverly Hills,90210,7/6/23,4,5,4158,0.51,5500000,3.18,5.12,7
1314 Summitridge Pl,Beverly Hills,90210,7/5/23,4,3,3371,0.53,3000000,3.18,5.12,7
1027 Ridgedale Dr,Beverly Hills,90210,7/3/23,5,4,4392,0.59,10600000,3.18,5.12,7
9541 Heather Rd,Beverly Hills,90210,7/3/23,5,4,5100,0.46,10295000,3.18,5.12,7
2327 Coldwater Canyon Dr,Beverly Hills,90210,7/3/23,4,4,2574,0.29,2400000,3.18,5.12,7
510 N Crescent Dr,Beverly Hills,90210,6/30/23,7,6,7773,0.27,9200000,2.97,5.08,6
9766 Blantyre Dr,Beverly Hills,90210,6/30/23,3,5,2452,0.36,2699000,2.97,5.08,6
448 N Oakhurst Dr #4,Beverly Hills,90210,6/28/23,4,3,2683,7496.68,2495250,2.97,5.08,6
2245 Betty Ln,Beverly Hills,90210,6/27/23,3,3,2755,0.38,2795000,2.97,5.08,6
1374 Laurel Way,Beverly Hills,90210,6/22/23,4,4,5054,0.39,9045000,2.97,5.08,6
9152 Janice Pl,Beverly Hills,90210,6/22/23,7,5,8520,0.86,14970000,2.97,5.08,6
1021 Chevy Chase Dr,Beverly Hills,90210,6/22/23,7,5,7030,0.31,7750000,2.97,5.08,6
516 N Alta Dr,Beverly Hills,90210,6/13/23,6,5,4982,10576.37,7700000,2.97,5.08,6
1138 San Ysidro Dr,Beverly Hills,90210,6/12/23,3,4,2814,0.31,19000,2.97,5.08,6
9233 Burton Way UNIT 306,Beverly Hills,90210,6/11/23,3,2,1588,0.49,1438000,2.97,5.08,6
425 N Maple Dr UNIT 601,Beverly Hills,90210,6/9/23,7,5,4636,0.8,4335800,2.97,5.08,6
1332 San Ysidro Dr,Beverly Hills,90210,6/9/23,5,5,3865,7588.15,3022550,2.97,5.08,6
9622 Highland Gorge Dr,Beverly Hills,90210,6/9/23,2,2,1064,2696.36,1250000,2.97,5.08,6
1373 Laurel Way,Beverly Hills,90210,6/9/23,5,5,4048,0.4,4900000,2.97,5.08,6
3092 Hutton Dr,Beverly Hills,90210,6/9/23,6,5,4291,0.31,4750000,2.97,5.08,6
268 N Rexford Dr,Beverly Hills,90210,6/8/23,4,4,3507,0.27,4480000,2.97,5.08,6
814 N Bedford Dr,Beverly Hills,90210,6/7/23,5,4,4100,0.47,10000000,2.97,5.08,6
812 N Bedford Dr,Beverly Hills,90210,6/7/23,14,11,14218,0.93,25000000,2.97,5.08,6
512 N Elm Dr,Beverly Hills,90210,6/6/23,3,4,2526,0.26,6200000,2.97,5.08,6
301 N Palm Dr,Beverly Hills,90210,6/6/23,5,4,4500,7501.03,5500000,2.97,5.08,6
2468 Coldwater Canyon Dr,Beverly Hills,90210,6/6/23,5,4,4500,0.57,3500000,2.97,5.08,6
1400 Claridge Dr,Beverly Hills,90210,6/5/23,3,2,2263,5401.44,2400000,2.97,5.08,6
9762 Burnley Pl,Beverly Hills,90210,6/5/23,4,5,2900,0.44,3156500,2.97,5.08,6
2485 Benedict Canyon Dr,Beverly Hills,90210,6/1/23,2,2,1033,10868.22,1370000,2.97,5.08,6
2571 Wallingford Dr,Beverly Hills,90210,5/31/23,24,12,38000,5.2,60850000,4.05,5.06,5
9667 Yoakum Dr,Beverly Hills,90210,5/31/23,1,3,1214,0.33,1895000,4.05,5.06,5
1151 N Hillcrest Rd,Beverly Hills,90210,5/31/23,9,8,8378,0.9,35000,4.05,5.06,5
605 N Roxbury Dr,Beverly Hills,90210,5/30/23,5,4,4138,0.28,8350000,4.05,5.06,5
513 N Bedford Dr,Beverly Hills,90210,5/26/23,10,7,9460,0.27,14400000,4.05,5.06,5
3218 Hutton Dr,Beverly Hills,90210,5/26/23,7,5,4526,0.5,3950000,4.05,5.06,5
1935 Loma Vista Dr,Beverly Hills,90210,5/26/23,6,5,5133,0.49,5750000,4.05,5.06,5
1725 Franklin Canyon Dr,Beverly Hills,90210,5/24/23,3,4,2220,7291.94,2478000,4.05,5.06,5
615 N Roxbury Dr,Beverly Hills,90210,5/22/23,6,5,6471,0.29,9450000,4.05,5.06,5
9336 Hazen Dr,Beverly Hills,90210,5/22/23,5,4,3516,10018.8,3774000,4.05,5.06,5
411 N Oakhurst Dr UNIT 311,Beverly Hills,90210,5/19/23,3,2,1694,0.71,1680000,4.05,5.06,5
2172 Coldwater Canyon Dr,Beverly Hills,90210,5/19/23,3,3,3317,1.32,2360000,4.05,5.06,5
1715 Benedict Canyon Dr,Beverly Hills,90210,5/15/23,3,4,3016,8999.5,3400000,4.05,5.06,5
10048 Cielo Dr,Beverly Hills,90210,5/12/23,7,7,7800,1.26,10800000,4.05,5.06,5
1638 Tower Grove Dr,Beverly Hills,90210,5/12/23,4.5,4,3941,0.3,13500,4.05,5.06,5
1071 Laurel Way,Beverly Hills,90210,5/5/23,7,5,6866,0.73,12026000,4.05,5.06,5
321 N Oakhurst Dr APT 601,Beverly Hills,90210,5/4/23,2,1,1564,0.52,750000,4.05,5.06,5
9233 Burton Way UNIT 301,Beverly Hills,90210,5/4/23,3,2,1753,0.49,1600000,4.05,5.06,5
513 N Crescent Dr,Beverly Hills,90210,5/2/23,6,6,3950,0.28,7300000,4.05,5.06,5
9586 Shirley Ln,Beverly Hills,90210,5/2/23,6,4,5252,0.33,5971352,4.05,5.06,5
620 Cole Pl,Beverly Hills,90210,5/1/23,5.5,4,5264,0.46,19995,4.05,5.06,5
2220 Coldwater Canyon Dr,Beverly Hills,90210,4/28/23,5,4,4252,0.67,4375000,4.93,4.83,4
339 N Palm Dr APT 302,Beverly Hills,90210,4/27/23,3,2,2784,0.54,1820000,4.93,4.83,4
9319 Lloydcrest Dr,Beverly Hills,90210,4/27/23,3,2,1448,5048.6,1682130,4.93,4.83,4
9934 Westwanda Dr,Beverly Hills,90210,4/26/23,2,3,828,0.46,1494000,4.93,4.83,4
2799 Ellison Dr,Beverly Hills,90210,4/25/23,3,4,2415,0.52,3000000,4.93,4.83,4
706 N Oakhurst Dr,Beverly Hills,90210,4/21/23,9,5,6470,0.31,9220000,4.93,4.83,4
111 N Maple Dr,Beverly Hills,90210,4/21/23,5,4,2300,7501.03,3331000,4.93,4.83,4
321 N Oakhurst Dr APT 404,Beverly Hills,90210,4/20/23,2,2,1819,0.52,1000000,4.93,4.83,4
922 N Alpine Dr,Beverly Hills,90210,4/17/23,5,4,4568,0.49,9500000,4.93,4.83,4
623 N Hillcrest Rd,Beverly Hills,90210,4/14/23,5,5,5288,0.34,8250000,4.93,4.83,4
1049 Loma Vista Dr,Beverly Hills,90210,4/14/23,8,6,7595,0.55,12295000,4.93,4.83,4
1650 Carla Rdg,Beverly Hills,90210,4/13/23,4,4,5409,0.46,9600000,4.93,4.83,4
816 N Roxbury Dr,Beverly Hills,90210,4/7/23,6,5,7593,0.44,15930000,4.93,4.83,4
1337 Ridgecrest Dr,Beverly Hills,90210,3/31/23,3,2,2526,2.97,32811000,4.98,4.65,3
3104 Hutton Dr,Beverly Hills,90210,3/31/23,5,5,3619,0.28,3975000,4.98,4.65,3
13319 Mulholland Dr,Beverly Hills,90210,3/30/23,6,5,7900,0.69,7800000,4.98,4.65,3
3315 Clerendon Rd,Beverly Hills,90210,3/29/23,7,6,6965,0.6,8600000,4.98,4.65,3
