Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/14233-SW-94th-Circle-Ln-APT-103-Miami-FL-33186/44310650_zpid/,,Townhouse for sale,Townhouse,,449000,Yes,20900,01/14/2024,1451,sqft,309.44,,sqft,3,3,South Dade Realty Inc,,14233 SW 94th Circle Ln APT 103,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11332-SW-133rd-Ct-564-Miami-FL-33186/44323894_zpid/,,Condo for sale,Condominium,22,465000,No,,,1290,sqft,360.47,,sqft,2,2,United Realty Group Inc,,11332 SW 133rd Ct #564,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12001-SW-97th-Ter-Miami-FL-33186/44305233_zpid/,,House for sale,Single Family,9,899500,No,,,2016,sqft,446.18,9138,sqft,3,2,"Rivas Realty, Inc.",,12001 SW 97th Ter,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13941-SW-91st-Ter-13941-Miami-FL-33186/64716014_zpid/,,Condo for sale,Condominium,,324900,Yes,5000,02/13/2024,1224,sqft,265.44,,sqft,2,2,Beachfront Realty Inc,,13941 SW 91st Ter #13941,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11999-SW-92nd-Ln-Miami-FL-33186/44305695_zpid/,,House for sale,Single Family,13,1200000,No,,,3621,sqft,331.4,8091,sqft,5,4,Realty World Executive Homes,,11999 SW 92nd Ln,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/10131-SW-134th-Ave-Miami-FL-33186/44308641_zpid/,,House for sale,Single Family,,699000,Yes,51000,02/01/2024,1695,sqft,412.39,7500,sqft,3,2,United Realty Group Inc,,10131 SW 134th Ave,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12887-SW-151st-Ln-Miami-FL-33186/44331161_zpid/,,House for sale,Single Family,6,559900,No,,,1294,sqft,432.69,4050,sqft,3,2,Floridian First Realty Corp,,12887 SW 151st Ln,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11611-SW-122nd-Ave-Miami-FL-33186/44324890_zpid/,,House for sale,Single Family,33,750000,No,,,1679,sqft,446.69,8092,sqft,4,2,Coldwell Banker Realty,,11611 SW 122nd Ave,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13480-SW-99th-St-Miami-FL-33186/44308113_zpid/,,House for sale,Single Family,2,798000,No,,,1680,sqft,475,7500,sqft,3,2,"Related ISG Realty, LLC.",,13480 SW 99th St,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12720-SW-149th-St-Miami-FL-33186/44330709_zpid/,,House for sale,Single Family,27,599500,No,,,1608,sqft,372.82,7500,sqft,4,2,Real Estate TeamMates,,12720 SW 149th St,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12625-SW-91st-St-APT-202-Miami-FL-33186/44307692_zpid/,,Condo for sale,Condominium,176,324900,No,,,1140,sqft,285,,sqft,2,3,Beachfront Realty Inc,,12625 SW 91st St APT 202,Miami,33186,FL,USA,5.33
