Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/3206-W-64th-St-Chicago-IL-60629/3953229_zpid/,,Active,Unknown,,274999,No,,,2150,sqft,127.91,6250,sqft,5,2,CORP-21ST GLOBAL REAL ESTATE,,3206 W 64th St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6816-S-Komensky-Ave-Chicago-IL-60629/3951942_zpid/,,Active,Unknown,,359000,No,,,2700,sqft,132.96,3746.16,sqft,4,4,RE/MAX 10,,6816 S Komensky Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/5536-S-Kilbourn-Ave-Chicago-IL-60629/3937423_zpid/,,Active,Unknown,,264900,Yes,5000,02/09/2024,1322,sqft,200.38,3781.01,sqft,3,1,Ready Properties Inc,,5536 S Kilbourn Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3737-W-60th-St-Chicago-IL-60629/3935843_zpid/,,Active,Unknown,,199900,Yes,25000,01/31/2024,1300,sqft,153.77,4316.8,sqft,3,1,Choice Realty Group Inc.,,3737 W 60th St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6338-S-Campbell-Ave-Chicago-IL-60629/2111928961_zpid/,,Active,Unknown,,229000,No,,,,,,3750,sqft,5,2,RE/MAX City,,6338 S Campbell Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/5667-S-Artesian-Ave-Chicago-IL-60629/2123118442_zpid/,,Active,Unknown,,280000,No,,,,,,3125,sqft,6,2,RE/MAX  Premier,,5667 S Artesian Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3917-W-61st-St-Chicago-IL-60629/3936054_zpid/,,Active,Unknown,,189900,Yes,10000,02/06/2024,740,sqft,256.62,4375,sqft,2,1,Vista Realty Group LLC,,3917 W 61st St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3754-W-69th-St-Chicago-IL-60629/3954370_zpid/,,Active,Unknown,,325000,No,,,1407,sqft,230.99,3750,sqft,6,3,Realty of Chicago LLC,,3754 W 69th St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/5659-S-Kildare-Ave-Chicago-IL-60629/158956509_zpid/,,Active,Unknown,,225000,No,,,,,,6174,sqft,,,"eXp Realty, LLC",,5659 S Kildare Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6822-S-Talman-Ave-Chicago-IL-60629/2101961282_zpid/,,Active,Unknown,,279900,Yes,15000,09/22/2023,,,,3484.8,sqft,4,2,"Ruiz Realty, Inc.",,6822 S Talman Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6214-S-Kenneth-Ave-Chicago-IL-60629/3939427_zpid/,,Active,Unknown,,398900,No,,,1300,sqft,306.85,3750,sqft,7,2,RE/MAX MI CASA,,6214 S Kenneth Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3841-W-56th-St-Chicago-IL-60629/158951993_zpid/,,Active,Unknown,,74000,Yes,1000,02/05/2024,,,,3125,sqft,,,Green Homes Realty,,3841 W 56th St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/5643-S-Richmond-St-Chicago-IL-60629/3931176_zpid/,,Auction,Unknown,,,No,,,1692,sqft,,3732,sqft,5,2,Fulton Grace Realty,,5643 S Richmond St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6600-S-Kilpatrick-Ave-Chicago-IL-60629/2101656777_zpid/,,Active,Unknown,,599900,No,,,,,,5227.2,sqft,6,2,Golden Homes Real Estate Inc.,,6600 S Kilpatrick Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6611-S-Washtenaw-Ave-Chicago-IL-60629/2112791961_zpid/,,Active,Unknown,,400000,Yes,30000,09/29/2023,,,,3125,sqft,6,3,Classic Realty Group Prestige,,6611 S Washtenaw Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/Chicago-IL-60629/3957527_zpid/,,Auction,Unknown,,,No,,,1773,sqft,,3000,sqft,4,3,Parkvue Realty Corporation,,(undisclosed Address),Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6240-S-Campbell-Ave-Chicago-IL-60629/2133182069_zpid/,,Re-activated,Unknown,,170000,No,,,,,,3484.8,sqft,4,2,@properties Christie's International Real Estate,,6240 S Campbell Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/5544-S-Pulaski-Rd-Chicago-IL-60629/3938210_zpid/,,Active,Unknown,,79900,Yes,2000,01/22/2024,,,,2613.6,sqft,,,RE/MAX MI CASA,,5544 S Pulaski Rd,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/7116-S-Artesian-Ave-Chicago-IL-60629/3957357_zpid/,,Active,Unknown,,24900,No,,,,,,3125,sqft,,,Century 21 Circle,,7116 S Artesian Ave,Chicago,60629,IL,USA,5.33
