Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-313-Chandler-AZ-85248/337522192_zpid/,,Apartment for sale,Apartment,5,525000,No,,,1346,sqft,390.04,1349,sqft,2,2,Berkshire Hathaway HomeServices Arizona Properties,,2511 W Queen Creek Rd UNIT 313,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-351-Chandler-AZ-85248/240313846_zpid/,,Apartment for sale,Apartment,39,560000,No,,,1489,sqft,376.09,1490,sqft,3,2,My Home Group Real Estate,,2511 W Queen Creek Rd UNIT 351,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/1351-N-Pleasant-Dr-UNIT-1173-Chandler-AZ-85225/8183992_zpid/,,Apartment for sale,Apartment,118,250000,No,,,725,sqft,344.83,723,sqft,1,1,Russ Lyon Sotheby's International Realty,,1351 N Pleasant Dr UNIT 1173,Chandler,85225,AZ,USA,5.33
https://www.zillow.com/homedetails/3330-S-Gilbert-Rd-UNIT-2001-Chandler-AZ-85286/68540272_zpid/,,Apartment for sale,Apartment,31,370000,No,,,1177,sqft,314.36,1277,sqft,2,2,HomeSmart,,3330 S Gilbert Rd UNIT 2001,Chandler,85286,AZ,USA,5.33
https://www.zillow.com/homedetails/1287-N-Alma-School-Rd-UNIT-270-Chandler-AZ-85224/55273518_zpid/,,Apartment for sale,Apartment,45,289900,No,,,1036,sqft,279.83,1114,sqft,2,2,XCD Realty & Property Mgmt,,1287 N Alma School Rd UNIT 270,Chandler,85224,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-148-Chandler-AZ-85248/240311598_zpid/,,Apartment for sale,Apartment,,554900,Yes,4100,12/14/2023,1459,sqft,380.33,1464,sqft,2,2,RE/MAX Foothills,,2511 W Queen Creek Rd UNIT 148,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-457-Chandler-AZ-85248/240311613_zpid/,,Apartment for sale,Apartment,176,505000,Yes,10000,10/19/2023,1459,sqft,346.13,1464,sqft,2,2,Launch Powered By Compass,,2511 W Queen Creek Rd UNIT 457,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-164-Chandler-AZ-85248/240314115_zpid/,,Apartment for sale,Apartment,41,585000,No,,,1466,sqft,399.05,1464,sqft,2,2,Gentry Real Estate,,2511 W Queen Creek Rd UNIT 164,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-113-Chandler-AZ-85248/337522177_zpid/,,Apartment for sale,Apartment,70,535000,No,,,1346,sqft,397.47,1349,sqft,2,2,Grotjahn Capital Management,,2511 W Queen Creek Rd UNIT 113,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-132-Chandler-AZ-85248/240308665_zpid/,,Apartment for sale,Apartment,,449000,Yes,1000,01/04/2024,861,sqft,521.49,862,sqft,1,2,Limitless Real Estate,,2511 W Queen Creek Rd UNIT 132,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-124-Chandler-AZ-85248/240308659_zpid/,,Apartment for sale,Apartment,,439900,Yes,10100,01/26/2024,861,sqft,510.92,862,sqft,1,2,Russ Lyon Sotheby's International Realty,,2511 W Queen Creek Rd #124,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-422-Chandler-AZ-85248/240308695_zpid/,,Apartment for sale,Apartment,27,539900,No,,,1459,sqft,370.05,1464,sqft,2,2,Gentry Real Estate,,2511 W Queen Creek Rd UNIT 422,Chandler,85248,AZ,USA,5.33
